variant,ratio_nat,neg_weight,unsafe_weight,seed,train_rows,threshold,cal_activations,cal_tp,cal_unsafe,cal_net_saved
A,0.5,2.0,20.0,42,956,0.08,23,3,0,18.9
A,0.5,2.0,20.0,137,956,0.08,23,3,0,18.9
A,0.5,2.0,20.0,271,956,0.08,23,3,0,18.9
A,0.5,2.0,20.0,512,956,0.08,23,3,0,18.9
A,0.5,2.0,20.0,1337,956,0.08,23,3,0,18.9
A,0.5,2.0,20.0,2027,956,0.08,23,3,0,18.9
A,0.5,2.0,20.0,4099,956,0.08,23,3,0,18.9
A,0.5,2.0,20.0,8191,956,0.08,23,3,0,18.9
A,0.5,2.0,20.0,16381,956,0.08,23,3,0,18.9
A,0.5,2.0,20.0,65537,956,0.08,23,3,0,18.9
A,0.5,2.0,50.0,42,956,0.08,23,3,0,18.9
A,0.5,2.0,50.0,137,956,0.08,23,3,0,18.9
A,0.5,2.0,50.0,271,956,0.08,23,3,0,18.9
A,0.5,2.0,50.0,512,956,0.08,23,3,0,18.9
A,0.5,2.0,50.0,1337,956,0.08,23,3,0,18.9
A,0.5,2.0,50.0,2027,956,0.08,23,3,0,18.9
A,0.5,2.0,50.0,4099,956,0.08,23,3,0,18.9
A,0.5,2.0,50.0,8191,956,0.08,23,3,0,18.9
A,0.5,2.0,50.0,16381,956,0.08,23,3,0,18.9
A,0.5,2.0,50.0,65537,956,0.08,23,3,0,18.9
A,0.5,2.0,100.0,42,956,0.08,21,3,0,20.3
A,0.5,2.0,100.0,137,956,0.08,21,3,0,20.3
A,0.5,2.0,100.0,271,956,0.08,21,3,0,20.3
A,0.5,2.0,100.0,512,956,0.08,21,3,0,20.3
A,0.5,2.0,100.0,1337,956,0.08,21,3,0,20.3
A,0.5,2.0,100.0,2027,956,0.08,21,3,0,20.3
A,0.5,2.0,100.0,4099,956,0.08,21,3,0,20.3
A,0.5,2.0,100.0,8191,956,0.08,21,3,0,20.3
A,0.5,2.0,100.0,16381,956,0.08,21,3,0,20.3
A,0.5,2.0,100.0,65537,956,0.08,21,3,0,20.3
A,0.5,5.0,20.0,42,956,0.1,15,3,0,24.5
A,0.5,5.0,20.0,137,956,0.1,15,3,0,24.5
A,0.5,5.0,20.0,271,956,0.1,15,3,0,24.5
A,0.5,5.0,20.0,512,956,0.1,15,3,0,24.5
A,0.5,5.0,20.0,1337,956,0.1,15,3,0,24.5
A,0.5,5.0,20.0,2027,956,0.1,15,3,0,24.5
A,0.5,5.0,20.0,4099,956,0.1,15,3,0,24.5
A,0.5,5.0,20.0,8191,956,0.1,15,3,0,24.5
A,0.5,5.0,20.0,16381,956,0.1,15,3,0,24.5
A,0.5,5.0,20.0,65537,956,0.1,15,3,0,24.5
A,0.5,5.0,50.0,42,956,0.1,14,3,0,25.2
A,0.5,5.0,50.0,137,956,0.1,14,3,0,25.2
A,0.5,5.0,50.0,271,956,0.1,14,3,0,25.2
A,0.5,5.0,50.0,512,956,0.1,14,3,0,25.2
A,0.5,5.0,50.0,1337,956,0.1,14,3,0,25.2
A,0.5,5.0,50.0,2027,956,0.1,14,3,0,25.2
A,0.5,5.0,50.0,4099,956,0.1,14,3,0,25.2
A,0.5,5.0,50.0,8191,956,0.1,14,3,0,25.2
A,0.5,5.0,50.0,16381,956,0.1,14,3,0,25.2
A,0.5,5.0,50.0,65537,956,0.1,14,3,0,25.2
A,0.5,5.0,100.0,42,956,0.08,23,3,0,18.9
A,0.5,5.0,100.0,137,956,0.08,23,3,0,18.9
A,0.5,5.0,100.0,271,956,0.08,23,3,0,18.9
A,0.5,5.0,100.0,512,956,0.08,23,3,0,18.9
A,0.5,5.0,100.0,1337,956,0.08,23,3,0,18.9
A,0.5,5.0,100.0,2027,956,0.08,23,3,0,18.9
A,0.5,5.0,100.0,4099,956,0.08,23,3,0,18.9
A,0.5,5.0,100.0,8191,956,0.08,23,3,0,18.9
A,0.5,5.0,100.0,16381,956,0.08,23,3,0,18.9
A,0.5,5.0,100.0,65537,956,0.08,23,3,0,18.9
A,0.33,2.0,20.0,42,956,0.08,23,3,0,18.9
A,0.33,2.0,20.0,137,956,0.08,23,3,0,18.9
A,0.33,2.0,20.0,271,956,0.08,23,3,0,18.9
A,0.33,2.0,20.0,512,956,0.08,23,3,0,18.9
A,0.33,2.0,20.0,1337,956,0.08,23,3,0,18.9
A,0.33,2.0,20.0,2027,956,0.08,23,3,0,18.9
A,0.33,2.0,20.0,4099,956,0.08,23,3,0,18.9
A,0.33,2.0,20.0,8191,956,0.08,23,3,0,18.9
A,0.33,2.0,20.0,16381,956,0.08,23,3,0,18.9
A,0.33,2.0,20.0,65537,956,0.08,23,3,0,18.9
A,0.33,2.0,50.0,42,956,0.08,23,3,0,18.9
A,0.33,2.0,50.0,137,956,0.08,23,3,0,18.9
